Movie,Post-Nom Gross,Post-Nom Theatres,Pre-Nom Gross,Pre-Nom Theatres,Release,Year,url,Actor,Actress,Adapted Screenplay,Animated Feature,Art Direction,Cinematography,Costume Design,Director,Editing,Foreign Language Picture,Makeup,Original Comedy/Musical Score,Original Dramatic Score,Original Score,Original Screenplay,Original Song,Picture,Sound,Sound Editing,Supporting Actor,Supporting Actress,Visual Effects,Nomination count,Win,BAFTA,DGA,PGA,GGC,GGD
E.T.: The Extra-Terrestrial,0.6136074891525558,1.144271948608137,3.3224274475963056,1.7801361633960753,1982-06-11,1982,/movies/?id=et.htm,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,9,0,0,0,0,0,0
Tootsie,2.485495084385847,1.6354389721627407,1.0163847980020517,1.223468161794153,1982-12-17,1982,/movies/?id=tootsie.htm,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9,0,0,0,0,1,0
The Verdict,0.5894784900610207,1.142933618843683,0.40033946389821584,0.9050861033239889,1982-12-10,1982,/movies/?id=verdict.htm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5,0,0,0,0,0,0
Gandhi,1.3114189364005766,1.077355460385439,0.11963900354141595,0.35742891469763716,1982-12-10,1982,/movies/?id=gandhi.htm,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11,1,1,1,0,0,0
Missing,0.0,0.0,0.141209286962011,0.7338806567881458,1982-02-12,1982,/movies/?id=missing.htm,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0
Terms of Endearment,3.0514029831893748,2.322021394319439,2.428732008286185,2.4062792877225867,1983-11-23,1983,/movies/?id=termsofendearment.htm,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,11,1,0,1,0,0,1
The Big Chill,0.5123850056344853,1.0770933234968645,1.7489362210179165,1.9493908153701969,1983-09-30,1983,/movies/?id=bigchill.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,0,0,0,0,0,0
The Right Stuff,0.7716012816851263,1.1563998524529693,0.5223275626572359,0.5506091846298031,1983-10-21,1983,/movies/?id=rightstuff.htm,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,8,0,0,0,0,0,0
Tender Mercies,0.0,0.0,0.2812618130391874,0.0866916588566073,1983-03-04,1983,/movies/?id=tendermercies.htm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0
The Dresser,0.664610729491014,0.44448542973072663,0.018742394999474925,0.007029053420805998,1983-12-09,1983,/movies/?id=dresser.htm,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0
Amadeus,1.1510126421814524,0.959402527767139,1.2423919671582422,0.7844932844932845,1984-09-21,1984,/movies/?id=amadeus.htm,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11,1,0,1,0,0,1
Places in the Heart,0.29339724085573954,0.5093833780160858,1.509306174341094,1.3247863247863247,1984-09-21,1984,/movies/?id=placesintheheart.htm,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7,0,0,0,0,0,0
The Killing Fields,2.051663806847007,1.269628494829567,0.5631777814094283,1.0119047619047619,1984-11-02,1984,/movies/?id=killingfields.htm,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0,1,0,0,0,0
A Passage to India,1.4486220651226602,1.2447338184603598,0.652039091009351,0.992063492063492,1984-12-14,1984,/movies/?id=passagetoindia.htm,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,11,0,0,0,0,0,0
A Soldier's Story,0.05530424499314106,1.0168517809268478,1.0330849860818845,0.8867521367521367,1984-09-14,1984,/movies/?id=soldiersstory.htm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3,0,0,0,0,0,0
The Color Purple,3.1725328375477786,2.3676345004269854,1.1030124635072942,1.2877380399442637,1985-12-20,1985,/movies/?id=colorpurple.htm,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,11,0,0,1,0,0,0
Out of Africa,1.6270030370066693,2.3526900085397098,1.3199943098333726,1.2796098467254993,1985-12-20,1985,/movies/?id=outofafrica.htm,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,11,1,0,0,0,0,0
Witness,0.0,0.0,1.6316954867906677,1.3574082675336738,1985-02-08,1985,/movies/?id=witness.htm,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0,0,0,0,0,0
Prizzi's Honor,0.0,0.0,0.6330793419640527,0.8383650719925685,1985-06-14,1985,/movies/?id=prizzishonor.htm,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8,0,0,0,0,1,0
Kiss of the Spider Woman,0.20046412544555253,0.27967549103330486,0.31221839790461275,0.2368787738039944,1985-07-26,1985,/movies/?id=kissofthespiderwoman.htm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0
Platoon,4.154126958985956,2.6868756458835685,1.645500563104658,1.4567733151803948,1986-12-19,1986,/movies/?id=platoon.htm,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,8,1,0,1,0,0,1
Hannah and Her Sisters,0.0,0.0,1.4819796669301626,1.2950987066031314,1986-02-07,1986,/movies/?id=hannahandhersisters.htm,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,7,0,0,0,0,1,0
Children of a Lesser God,0.340116407829482,0.7974509128487771,0.9266969375915026,0.9257998638529612,1986-10-03,1986,/movies/?id=childrenofalessergod.htm,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0
A Room with a View,0.16333554731609293,0.2583534274888047,0.48108497373608927,0.0799863852961198,1986-03-07,1986,/movies/?id=roomwithaview.htm,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8,0,1,0,0,0,0
The Mission,0.3424210858684685,1.2573200137788494,0.46473785863758765,1.2423417290673928,1986-10-31,1986,/movies/?id=mission.htm,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0,0,0,0
Fatal Attraction,0.6388056592763147,1.2288135593220337,3.211874749189428,1.8952922077922076,1987-09-18,1987,/movies/?id=fatalattraction.htm,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6,0,0,0,0,0,0
Moonstruck,2.3649355363116564,1.559851694915254,0.5726283018485395,1.3325216450216448,1987-12-18,1987,/movies/?id=moonstruck.htm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6,0,0,0,0,0,0
Broadcast News,0.7695107739895825,1.1228813559322033,0.8286620808345423,1.147186147186147,1987-12-18,1987,/movies/?id=broadcastnews.htm,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0,0,0,0,0,0
The Last Emperor,0.9202754447729866,0.6541313559322034,0.2688965610601902,0.5018939393939393,1987-11-20,1987,/movies/?id=lastemperor.htm,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9,1,1,1,0,0,1
Hope and Glory,0.30647258564945973,0.43432203389830504,0.11793830706729991,0.1231060606060606,1987-10-16,1987,/movies/?id=hopeandglory.htm,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0,0,1,0
Rain Man,2.3471820515799418,1.4790697674418605,2.5720270093796547,1.6153214212363936,1988-12-16,1988,/movies/?id=rainman.htm,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,1,0,1,0,0,1
Working Girl,0.7727523162401482,1.0539534883720931,1.1153597286652723,1.1799137399876771,1988-12-23,1988,/movies/?id=workinggirl.htm,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,6,0,0,0,0,1,0
Dangerous Liaisons,0.9640730749394458,0.7088372093023256,0.17729390619779092,0.12220168412405012,1988-12-23,1988,/movies/?id=dangerousliaisons.htm,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0
Mississippi Burning,0.590159876345025,1.0548837209302326,0.493613078981902,1.1028958718422675,1988-12-09,1988,/movies/?id=mississippiburning.htm,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0
The Accidental Tourist,0.32583268089543954,0.7032558139534884,0.6417062767753804,0.9796672828096119,1988-12-23,1988,/movies/?id=accidentaltourist.htm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0
Driving Miss Daisy,3.185839345017198,2.36676217765043,0.6866613564902018,1.3351107465135357,1989-12-15,1989,/movies/?id=drivingmissdaisy.htm,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,1,0,0,1,1,0
Dead Poets Society,0.0,0.0,1.958948724021308,1.137202625102543,1989-06-02,1989,/movies/?id=deadpoetssociety.htm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0,0
Born on the Fourth of July,1.2963608623584317,2.054441260744986,0.9944233746792127,1.3484413453650532,1989-12-22,1989,/movies/?id=bornonthefourthofjuly.htm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7,0,0,1,0,0,1
Field of Dreams,0.0,0.0,1.3166920179855552,1.1279737489745694,1989-04-21,1989,/movies/?id=fieldofdreams.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0
My Left Foot,0.5177997926243707,0.5787965616045845,0.043274526823722036,0.0512715340442986,1989-11-10,1989,/movies/?id=myleftfoot.htm,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0
Ghost,0.27664294795936417,0.48741805878621275,2.330412143741681,1.1185710666328859,1990-07-13,1990,/movies/?id=ghost.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0
Dances with Wolves,3.100777545131899,1.7001480228378094,1.138658492062278,0.9804915125411705,1990-11-09,1990,/movies/?id=danceswithwolves.htm,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,12,1,0,1,1,0,0
The Godfather Part III,0.30384979524152594,0.7781772044829774,0.6820441000286815,1.2173802888269571,1990-12-25,1990,/movies/?id=godfather3.htm,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7,0,0,0,0,0,0
Awakenings,1.0454908898085908,1.3935292873757665,0.40138323216329685,0.8424119584494553,1990-12-22,1990,/movies/?id=awakenings.htm,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0
Goodfellas,0.2732388218586205,0.6407274265172341,0.447502032004062,0.8411451735495313,1990-09-19,1990,/movies/?id=goodfellas.htm,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,6,0,1,0,0,0,0
Beauty and the Beast,1.8921164102471266,1.3964999116139296,1.3537937905818016,1.2570548999486917,1991-11-15,1991,/movies/?id=beautyandthebeast.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,6,0,0,0,0,1,0
The Silence of the Lambs,0.0,0.0,1.6606182680225436,1.0531041559774243,1991-02-14,1991,/movies/?id=silenceofthelambs.htm,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7,1,0,1,1,0,0
The Prince of Tides,1.1954405932650642,1.3213717518119144,0.7536407092336269,0.99153412006157,1991-12-27,1991,/movies/?id=princeoftides.htm,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0
JFK,1.025135386990358,1.194095810500265,0.7381164600797357,0.8946895844022575,1991-12-20,1991,/movies/?id=jfk.htm,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,8,0,0,0,0,0,0
Bugsy,0.8873076094974514,1.0880325260738906,0.49383077208229237,0.8036172396100564,1991-12-13,1991,/movies/?id=bugsy.htm,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,10,0,0,0,0,0,1
